timestamp_ms,distance_cm,valid_samples,ground_truth
237699,92.58,7,95
237824,92.75,7,95
237948,92.56,7,95
238073,92.67,7,95
238198,92.3,7,95
238323,92.18,7,95
238447,92.23,7,95
238572,92.59,7,95
238697,92.74,7,95
238822,92.74,7,95
238947,92.74,7,95
239072,92.66,7,95
239197,92.61,7,95
239322,92.55,7,95
239447,92.54,7,95
239571,92.71,7,95
239696,93.05,7,95
239821,93.06,7,95
239946,92.8,7,95
240071,92.76,7,95
240196,92.76,7,95
240321,92.7,7,95
240446,92.66,7,95
240571,92.61,7,95
240696,92.56,7,95
240820,92.5,7,95
240945,92.32,7,95
241070,92.32,7,95
241195,92.42,7,95
241319,92.47,7,95
241444,92.49,7,95
241568,92.52,7,95
241693,92.48,7,95
241818,92.5,7,95
241943,92.55,7,95
242068,92.64,7,95
242193,92.78,7,95
242318,92.83,7,95
242443,92.8,7,95
242568,92.81,7,95
242693,92.8,7,95
242818,92.91,7,95
242942,92.82,7,95
243067,92.82,7,95
243192,92.83,7,95
243317,92.79,7,95
243442,92.78,7,95
243567,92.76,7,95
243692,92.77,7,95
243817,92.69,7,95
243942,92.7,7,95
244067,92.66,7,95
244192,92.71,7,95
244316,92.73,7,95
244441,92.74,7,95
244566,92.72,7,95
244690,92.74,7,95
244815,92.71,7,95
244940,92.67,7,95
245065,92.74,7,95
245190,92.71,7,95
245315,92.69,7,95
245440,92.67,7,95
245565,92.63,7,95
245690,92.57,7,95
245815,92.56,7,95
245940,92.6,7,95
246065,92.65,7,95
246189,92.72,7,95
246313,92.76,7,95
246438,92.78,7,95
246563,92.82,7,95
246688,93.0,7,95
246813,92.99,7,95
246938,92.97,7,95
247064,92.8,7,95
247189,92.73,7,95
247314,92.72,7,95
247439,92.68,7,95
247563,92.73,7,95
247688,92.76,7,95
247813,92.83,7,95
247938,92.82,7,95
248062,92.99,7,95
248187,93.01,7,95
248312,92.92,7,95
248437,92.86,7,95
248562,92.83,7,95
248687,93.07,7,95
248813,93.43,7,95
248938,93.43,7,95
249063,93.5,7,95
249188,93.5,7,95
249313,93.55,7,95
249439,93.65,7,95
249564,93.62,7,95
249689,93.61,7,95
249815,93.41,7,95
249939,93.4,7,95
250064,93.3,7,95
250189,93.58,7,95
250315,93.53,7,95
250440,93.63,7,95
250565,93.62,7,95
